"id","hisq_ensembles","operator","nbs","fit_n","result","commit_date","commit_user"
1,"l1648f211b580m013m065m838","LR",0,1,0.00829410580946,"2017-06-14 00:34:36.438224-07","cchang5"
2,"l1648f211b580m013m065m838","LR",0,2,0.00829410580946,"2017-06-14 00:34:36.473204-07","cchang5"
3,"l1648f211b580m013m065m838","LR",0,3,0.00829410580946,"2017-06-14 00:34:36.499127-07","cchang5"
4,"l1648f211b580m013m065m838","LR",1,1,0.0072787951882,"2017-06-14 00:34:36.521528-07","cchang5"
5,"l1648f211b580m013m065m838","LR",1,2,0.00782120988284,"2017-06-14 00:34:36.547273-07","cchang5"
6,"l1648f211b580m013m065m838","LR",1,3,0.0072541326563,"2017-06-14 00:34:36.573053-07","cchang5"
7,"l1648f211b580m013m065m838","LR",2,1,0.00782291177429,"2017-06-14 00:34:36.598208-07","cchang5"
8,"l1648f211b580m013m065m838","LR",2,2,0.0080734209418,"2017-06-14 00:34:36.621492-07","cchang5"
9,"l1648f211b580m013m065m838","LR",2,3,0.00765754916569,"2017-06-14 00:34:36.646544-07","cchang5"
10,"l1648f211b580m013m065m838","LR",3,1,0.00809233792546,"2017-06-14 00:34:36.674878-07","cchang5"
11,"l1648f211b580m013m065m838","LR",3,2,0.00842047435558,"2017-06-14 00:34:36.697969-07","cchang5"
12,"l1648f211b580m013m065m838","LR",3,3,0.0082221001505,"2017-06-14 00:34:36.723813-07","cchang5"
13,"l1648f211b580m013m065m838","LR",4,1,0.00778791183231,"2017-06-14 00:34:36.749601-07","cchang5"
14,"l1648f211b580m013m065m838","LR",4,2,0.00791864757451,"2017-06-14 00:34:36.777366-07","cchang5"
15,"l1648f211b580m013m065m838","LR",4,3,0.00807035929454,"2017-06-14 00:34:36.801126-07","cchang5"
16,"l1648f211b580m013m065m838","LR",5,1,0.00895536667784,"2017-06-14 00:34:36.827131-07","cchang5"
17,"l1648f211b580m013m065m838","LR",5,2,0.00922323189745,"2017-06-14 00:34:36.853203-07","cchang5"
18,"l1648f211b580m013m065m838","LR",5,3,0.00885144387506,"2017-06-14 00:34:36.879806-07","cchang5"
19,"l1648f211b580m013m065m838","LR",6,1,0.00813366745181,"2017-06-14 00:34:36.905001-07","cchang5"
20,"l1648f211b580m013m065m838","LR",6,2,0.00794102128704,"2017-06-14 00:34:36.930128-07","cchang5"
21,"l1648f211b580m013m065m838","LR",6,3,0.00787081838099,"2017-06-14 00:34:36.95521-07","cchang5"
22,"l1648f211b580m013m065m838","LR",7,1,0.00796381333453,"2017-06-14 00:34:36.982015-07","cchang5"
23,"l1648f211b580m013m065m838","LR",7,2,0.00816044421499,"2017-06-14 00:34:37.00579-07","cchang5"
24,"l1648f211b580m013m065m838","LR",7,3,0.00801722490629,"2017-06-14 00:34:37.043004-07","cchang5"
25,"l1648f211b580m013m065m838","LR",8,1,0.00789356494814,"2017-06-14 00:34:37.068027-07","cchang5"
26,"l1648f211b580m013m065m838","LR",8,2,0.00821821698605,"2017-06-14 00:34:37.093752-07","cchang5"
27,"l1648f211b580m013m065m838","LR",8,3,0.00816363456634,"2017-06-14 00:34:37.119167-07","cchang5"
28,"l1648f211b580m013m065m838","LR",9,1,0.00809506851026,"2017-06-14 00:34:37.14519-07","cchang5"
29,"l1648f211b580m013m065m838","LR",9,2,0.00813159134584,"2017-06-14 00:34:37.170685-07","cchang5"
30,"l1648f211b580m013m065m838","LR",9,3,0.00820616582749,"2017-06-14 00:34:37.197524-07","cchang5"
31,"l1648f211b580m013m065m838","LR",10,1,0.00815101697252,"2017-06-14 00:34:37.222881-07","cchang5"
32,"l1648f211b580m013m065m838","LR",10,2,0.00822215027582,"2017-06-14 00:34:37.24863-07","cchang5"
33,"l1648f211b580m013m065m838","LR",10,3,0.00806021822916,"2017-06-14 00:34:37.274889-07","cchang5"
34,"l1648f211b580m013m065m838","LR",11,1,0.00725650789564,"2017-06-14 00:34:37.300804-07","cchang5"
35,"l1648f211b580m013m065m838","LR",11,2,0.00735761662013,"2017-06-14 00:34:37.3263-07","cchang5"
36,"l1648f211b580m013m065m838","LR",11,3,0.00753461602223,"2017-06-14 00:34:37.351883-07","cchang5"
37,"l1648f211b580m013m065m838","LR",12,1,0.00799343409411,"2017-06-14 00:34:37.377487-07","cchang5"
38,"l1648f211b580m013m065m838","LR",12,2,0.00817780317375,"2017-06-14 00:34:37.403893-07","cchang5"
39,"l1648f211b580m013m065m838","LR",12,3,0.00802673744825,"2017-06-14 00:34:37.429806-07","cchang5"
40,"l1648f211b580m013m065m838","LR",13,1,0.00828018218508,"2017-06-14 00:34:37.455674-07","cchang5"
41,"l1648f211b580m013m065m838","LR",13,2,0.00834979531446,"2017-06-14 00:34:37.486584-07","cchang5"
42,"l1648f211b580m013m065m838","LR",13,3,0.00825687568206,"2017-06-14 00:34:37.514574-07","cchang5"
43,"l1648f211b580m013m065m838","LR",14,1,0.00779354767796,"2017-06-14 00:34:37.540303-07","cchang5"
44,"l1648f211b580m013m065m838","LR",14,2,0.00812422432908,"2017-06-14 00:34:37.565503-07","cchang5"
45,"l1648f211b580m013m065m838","LR",14,3,0.00819198112471,"2017-06-14 00:34:37.590511-07","cchang5"
46,"l1648f211b580m013m065m838","LR",15,1,0.00773655044076,"2017-06-14 00:34:37.624578-07","cchang5"
47,"l1648f211b580m013m065m838","LR",15,2,0.00780909977746,"2017-06-14 00:34:37.649112-07","cchang5"
48,"l1648f211b580m013m065m838","LR",15,3,0.00817381764501,"2017-06-14 00:34:37.675536-07","cchang5"
49,"l1648f211b580m013m065m838","LR",16,1,0.00816092404911,"2017-06-14 00:34:37.699781-07","cchang5"
50,"l1648f211b580m013m065m838","LR",16,2,0.0082594539145,"2017-06-14 00:34:37.725086-07","cchang5"
51,"l1648f211b580m013m065m838","LR",16,3,0.00841637168328,"2017-06-14 00:34:37.750297-07","cchang5"
52,"l1648f211b580m013m065m838","LR",17,1,0.00805274359648,"2017-06-14 00:34:37.775804-07","cchang5"
53,"l1648f211b580m013m065m838","LR",17,2,0.00866672605652,"2017-06-14 00:34:37.801305-07","cchang5"
54,"l1648f211b580m013m065m838","LR",17,3,0.00803953274306,"2017-06-14 00:34:37.825431-07","cchang5"
55,"l1648f211b580m013m065m838","LR",18,1,0.00819849770482,"2017-06-14 00:34:37.859118-07","cchang5"
56,"l1648f211b580m013m065m838","LR",18,2,0.00789585247907,"2017-06-14 00:34:37.883902-07","cchang5"
57,"l1648f211b580m013m065m838","LR",18,3,0.00844137639392,"2017-06-14 00:34:37.908719-07","cchang5"
58,"l1648f211b580m013m065m838","LR",19,1,0.00807269098687,"2017-06-14 00:34:37.936237-07","cchang5"
59,"l1648f211b580m013m065m838","LR",19,2,0.00835233339476,"2017-06-14 00:34:37.959723-07","cchang5"
60,"l1648f211b580m013m065m838","LR",19,3,0.00812913649249,"2017-06-14 00:34:37.985331-07","cchang5"
61,"l1648f211b580m013m065m838","LR",20,1,0.00808635327096,"2017-06-14 00:34:38.010874-07","cchang5"
62,"l1648f211b580m013m065m838","LR",20,2,0.00807323345029,"2017-06-14 00:34:38.035875-07","cchang5"
63,"l1648f211b580m013m065m838","LR",20,3,0.00826753478766,"2017-06-14 00:34:38.060911-07","cchang5"
64,"l1648f211b580m013m065m838","LR",21,1,0.00836868567892,"2017-06-14 00:34:38.086533-07","cchang5"
65,"l1648f211b580m013m065m838","LR",21,2,0.00842274240886,"2017-06-14 00:34:38.111405-07","cchang5"
66,"l1648f211b580m013m065m838","LR",21,3,0.00857367992673,"2017-06-14 00:34:38.136618-07","cchang5"
67,"l1648f211b580m013m065m838","LR",22,1,0.00744203082293,"2017-06-14 00:34:38.162154-07","cchang5"
68,"l1648f211b580m013m065m838","LR",22,2,0.00747750839747,"2017-06-14 00:34:38.188937-07","cchang5"
69,"l1648f211b580m013m065m838","LR",22,3,0.00755988495195,"2017-06-14 00:34:38.2121-07","cchang5"
70,"l1648f211b580m013m065m838","LR",23,1,0.00884360031444,"2017-06-14 00:34:38.23819-07","cchang5"
71,"l1648f211b580m013m065m838","LR",23,2,0.00877057749234,"2017-06-14 00:34:38.262799-07","cchang5"
72,"l1648f211b580m013m065m838","LR",23,3,0.00870983290047,"2017-06-14 00:34:38.28787-07","cchang5"
73,"l1648f211b580m013m065m838","LR",24,1,0.00829865138381,"2017-06-14 00:34:38.31348-07","cchang5"
74,"l1648f211b580m013m065m838","LR",24,2,0.00830098404869,"2017-06-14 00:34:38.343125-07","cchang5"
75,"l1648f211b580m013m065m838","LR",24,3,0.00816288384621,"2017-06-14 00:34:38.368089-07","cchang5"
76,"l1648f211b580m013m065m838","LR",25,1,0.00839052149809,"2017-06-14 00:34:38.393309-07","cchang5"
77,"l1648f211b580m013m065m838","LR",25,2,0.00831400774022,"2017-06-14 00:34:38.426771-07","cchang5"
78,"l1648f211b580m013m065m838","LR",25,3,0.00845866661355,"2017-06-14 00:34:38.451445-07","cchang5"
79,"l1648f211b580m013m065m838","LR",26,1,0.00836356805661,"2017-06-14 00:34:38.477164-07","cchang5"
80,"l1648f211b580m013m065m838","LR",26,2,0.00841713738641,"2017-06-14 00:34:38.502119-07","cchang5"
81,"l1648f211b580m013m065m838","LR",26,3,0.00847368624548,"2017-06-14 00:34:38.527623-07","cchang5"
82,"l1648f211b580m013m065m838","LR",27,1,0.0075530943517,"2017-06-14 00:34:38.552691-07","cchang5"
83,"l1648f211b580m013m065m838","LR",27,2,0.00763865999694,"2017-06-14 00:34:38.627792-07","cchang5"
84,"l1648f211b580m013m065m838","LR",27,3,0.00770217022549,"2017-06-14 00:34:38.652974-07","cchang5"
85,"l1648f211b580m013m065m838","LR",28,1,0.0079387985532,"2017-06-14 00:34:38.679223-07","cchang5"
86,"l1648f211b580m013m065m838","LR",28,2,0.00800176990699,"2017-06-14 00:34:38.705033-07","cchang5"
87,"l1648f211b580m013m065m838","LR",28,3,0.00834269547353,"2017-06-14 00:34:38.730777-07","cchang5"
88,"l1648f211b580m013m065m838","LR",29,1,0.00809433612928,"2017-06-14 00:34:38.75667-07","cchang5"
89,"l1648f211b580m013m065m838","LR",29,2,0.00823635546846,"2017-06-14 00:34:38.786007-07","cchang5"
90,"l1648f211b580m013m065m838","LR",29,3,0.00806277181975,"2017-06-14 00:34:38.812029-07","cchang5"
91,"l1648f211b580m013m065m838","LR",30,1,0.00809667129676,"2017-06-14 00:34:38.837426-07","cchang5"
92,"l1648f211b580m013m065m838","LR",30,2,0.00805797621193,"2017-06-14 00:34:38.863876-07","cchang5"
93,"l1648f211b580m013m065m838","LR",30,3,0.00843209804367,"2017-06-14 00:34:38.889796-07","cchang5"
94,"l1648f211b580m013m065m838","LR",31,1,0.00774572212471,"2017-06-14 00:34:38.91566-07","cchang5"
95,"l1648f211b580m013m065m838","LR",31,2,0.00774307693466,"2017-06-14 00:34:38.941343-07","cchang5"
96,"l1648f211b580m013m065m838","LR",31,3,0.00764766280531,"2017-06-14 00:34:38.967422-07","cchang5"
97,"l1648f211b580m013m065m838","LR",32,1,0.00823647061689,"2017-06-14 00:34:38.992958-07","cchang5"
98,"l1648f211b580m013m065m838","LR",32,2,0.00823899346108,"2017-06-14 00:34:39.018778-07","cchang5"
99,"l1648f211b580m013m065m838","LR",32,3,0.00846711652384,"2017-06-14 00:34:39.044588-07","cchang5"
100,"l1648f211b580m013m065m838","LR",33,1,0.00774583525347,"2017-06-14 00:34:39.070227-07","cchang5"
