"ensemble","aw0_mean","aw0_sdev","r2DI_mean","r2DI_sdev","r1a_mean","r1a_sdev","alfs"
"l1648f211b580m013m065m838",0.8804,0.0003,0.3678,0.0441,2.059,0.023,0.58801
"l2448f211b580m0064m0640m828",0.8804,0.0003,0.3678,0.0441,2.073,0.013,0.58801
"l3248f211b580m00235m0647m831",0.8804,0.0003,0.3678,0.0441,2.089,0.008,0.58801
"l2464f211b600m0102m0509m635",0.7036,0.0005,0.2068,0.0172,2.575,0.017,0.53796
"l2464f211b600m00507m0507m628",0.7036,0.0005,0.2068,0.0172,2.585,0.019,0.53796
"l3264f211b600m00507m0507m628",0.7036,0.0005,0.2068,0.0172,2.626,0.013,0.53796
"l4064f211b600m00507m0507m628",0.7036,0.0005,0.2068,0.0172,2.614,0.009,0.53796
"l4864f211b600m00184m0507m628",0.7036,0.0005,0.2068,0.0172,2.608,0.008,0.53796
"l3296f211b630m0074m037m440",0.5105,0.0003,0.0631,0.0051,3.499,0.024,0.43356
"l4896f211b630m00363m0363m430",0.5105,0.0003,0.0631,0.0051,3.566,0.014,0.43356
